"var"	"tipo"	"nulo"	"llave"	"valor"
"CMUN"	"D"	"NA"	"18101"	"Huétor Vega"
"CMUN"	"D"	"NA"	"18102"	"Illora"
"CMUN"	"D"	"NA"	"18122"	"Loja"
"CMUN"	"D"	"NA"	"18127"	"Maracena"
"CMUN"	"D"	"NA"	"18140"	"Motril"
"CMUN"	"D"	"NA"	"18145"	"Ogíjares"
"CMUN"	"D"	"NA"	"18153"	"Peligros"
"CMUN"	"D"	"NA"	"18158"	"Pinos Puente"
"CMUN"	"D"	"NA"	"18173"	"Salobreña"
"CMUN"	"D"	"NA"	"18175"	"Santa Fe"
"CMUN"	"D"	"NA"	"18193"	"Zubia, La"
"CMUN"	"D"	"NA"	"18905"	"Gabias, Las"
"CMUN"	"D"	"NA"	"18911"	"Vegas del Genil"
"CMUN"	"D"	"NA"	"19024"	"Alovera"
"CMUN"	"D"	"NA"	"19046"	"Azuqueca de Henares"
"CMUN"	"D"	"NA"	"19071"	"Casar, El"
"CMUN"	"D"	"NA"	"19130"	"Guadalajara"
"CMUN"	"D"	"NA"	"20009"	"Andoain"
"CMUN"	"D"	"NA"	"20017"	"Azkoitia"
"CMUN"	"D"	"NA"	"20018"	"Azpeitia"
"CMUN"	"D"	"NA"	"20019"	"Beasain"
"CMUN"	"D"	"NA"	"20030"	"Eibar"
"CMUN"	"D"	"NA"	"20032"	"Elgoibar"
"CMUN"	"D"	"NA"	"20036"	"Hondarribia"
"CMUN"	"D"	"NA"	"20040"	"Hernani"
"CMUN"	"D"	"NA"	"20045"	"Irun"
"CMUN"	"D"	"NA"	"20055"	"Arrasate/Mondragón"
"CMUN"	"D"	"NA"	"20059"	"Oñati"
"CMUN"	"D"	"NA"	"20063"	"Oiartzun"
"CMUN"	"D"	"NA"	"20064"	"Pasaia"
"CMUN"	"D"	"NA"	"20067"	"Errenteria"
"CMUN"	"D"	"NA"	"20069"	"Donostia/San Sebastián"
"CMUN"	"D"	"NA"	"20071"	"Tolosa"
"CMUN"	"D"	"NA"	"20074"	"Bergara"
"CMUN"	"D"	"NA"	"20079"	"Zarautz"
"CMUN"	"D"	"NA"	"20902"	"Lasarte-Oria"
"CMUN"	"D"	"NA"	"21002"	"Aljaraque"
"CMUN"	"D"	"NA"	"21005"	"Almonte"
"CMUN"	"D"	"NA"	"21010"	"Ayamonte"
"CMUN"	"D"	"NA"	"21013"	"Bollullos Par del Condado"
"CMUN"	"D"	"NA"	"21021"	"Cartaya"
"CMUN"	"D"	"NA"	"21035"	"Gibraleón"
"CMUN"	"D"	"NA"	"21041"	"Huelva"
"CMUN"	"D"	"NA"	"21042"	"Isla Cristina"
"CMUN"	"D"	"NA"	"21044"	"Lepe"
"CMUN"	"D"	"NA"	"21050"	"Moguer"
"CMUN"	"D"	"NA"	"21054"	"Palma del Condado, La"
"CMUN"	"D"	"NA"	"21055"	"Palos de la Frontera"
"CMUN"	"D"	"NA"	"21060"	"Punta Umbría"
"CMUN"	"D"	"NA"	"21072"	"Valverde del Camino"
"CMUN"	"D"	"NA"	"22048"	"Barbastro"
"CMUN"	"D"	"NA"	"22112"	"Fraga"
"CMUN"	"D"	"NA"	"22125"	"Huesca"
"CMUN"	"D"	"NA"	"22130"	"Jaca"
